     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     86489,      1023,         0,    1.60,chromobius,908c7b8b1de0633d69cc0c74a1e71c27f9bcfbf33b20d79a8d121b16b3acb39e,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0007,""q"":23,""r"":20}",
     79740,      1931,         0,    3.20,chromobius,cd290599dc49b147ab7de68d0befb3d0778912a719c2e99f17a75662aef03db0*908c7b8b1de0633d69cc0c74a1e71c27f9bcfbf33b20d79a8d121b16b3acb39e,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0007,""q"":23,""r"":20}",
     40295,      1003,         0,    1.36,chromobius,e88b3d80fd9b7782f576bcbfde923642923c87cbd37d645a6ea81b3853cde112,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":23,""r"":20}",
     39539,      1021,         0,    1.19,chromobius,6850edc67fd4913b80008eab17244c03a5d925fdada129a2a861ff29e92a9c6e,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":23,""r"":20}",
     39539,      1980,         0,    2.55,chromobius,6850edc67fd4913b80008eab17244c03a5d925fdada129a2a861ff29e92a9c6e*e88b3d80fd9b7782f576bcbfde923642923c87cbd37d645a6ea81b3853cde112,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":23,""r"":20}",
     11880,      1061,         0,   0.859,chromobius,9959dfefdf9ac06118ed9d473d04e68d2535892ffe9cf806a8ce1ac96a1d3d79,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.002,""q"":23,""r"":20}",
     11705,      1052,         0,   0.737,chromobius,8d6cf338539da6e269d390cd45fa213a4ed7e1a9444d522313f76f42b9b7cdcb,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.002,""q"":23,""r"":20}",
     11705,      2003,         0,    1.60,chromobius,8d6cf338539da6e269d390cd45fa213a4ed7e1a9444d522313f76f42b9b7cdcb*9959dfefdf9ac06118ed9d473d04e68d2535892ffe9cf806a8ce1ac96a1d3d79,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.002,""q"":23,""r"":20}",
      5730,      1002,         0,   0.876,chromobius,2c98713fc8824c3b9ea627047fd8110aa3b4bc01a3b9b8aedf1cb18b63a6d4b3,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.003,""q"":23,""r"":20}",
      6370,      1045,         0,   0.700,chromobius,d44deffad33ee2a3fdf53a5b0ff6e51230feb5e29fa3b44519042d8c9beffa75,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.003,""q"":23,""r"":20}",
      5730,      1778,         0,    1.58,chromobius,2c98713fc8824c3b9ea627047fd8110aa3b4bc01a3b9b8aedf1cb18b63a6d4b3*d44deffad33ee2a3fdf53a5b0ff6e51230feb5e29fa3b44519042d8c9beffa75,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.003,""q"":23,""r"":20}",
      3320,      1046,         0,   0.643,chromobius,c7b1dc694b0d3f4a770b7394da69619138f1badf5ab936a61f6ccc7649fa185c,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.005,""q"":23,""r"":20}",
      3066,      1013,         0,   0.519,chromobius,4f6517cf99c0859288031a1fab3652de0f4eb81dfdfa36628cb6d3b7f4da606f,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.005,""q"":23,""r"":20}",
      3066,      1660,         0,    1.16,chromobius,4f6517cf99c0859288031a1fab3652de0f4eb81dfdfa36628cb6d3b7f4da606f*c7b1dc694b0d3f4a770b7394da69619138f1badf5ab936a61f6ccc7649fa185c,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.005,""q"":23,""r"":20}",
      2719,      1026,         0,   0.638,chromobius,359ed3ae084a1a9c0a5709b98e4d4a1980418c666067a5ed49d57b020b2b5de2,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.006,""q"":23,""r"":20}",
      2691,      1027,         0,   0.456,chromobius,d328073250400d6039e1c7f5515440471dfd7462c15277a8d8505dbbf30166bf,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.006,""q"":23,""r"":20}",
